rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction
28.942200000000003,1902840,289.15,55,112,499,0.05408322438597679,0.2,-0.006430998822906986,0.0001,0.2392047718167305,0.977912962436676,-0.5174398068338633,0.0038136605,7411,0.017822265625
29.064,1903864,290.3,56,112,508,-0.002456706017255783,0.2,-0.008231818093918264,0.0001,0.04674917587544769,0.9952406883239746,-0.5505165793001652,0.006647228,7415,0.03076171875
28.933000000000003,1904888,288.54,57,112,517,-0.010842573828995228,0.2,-0.006795988418161869,0.0001,0.023414128983858973,0.9963312149047852,-0.5011969301849604,0.0054636365,7419,0.03076171875
28.973200000000002,1905912,289.01,58,112,526,0.27447691559791565,0.2,-0.002872134529752657,0.0001,0.5864183502271771,0.9221067428588867,-0.42975508607923985,0.005800656,7423,0.035400390625
28.972700000000003,1906936,289.2,59,112,537,0.0006156228482723236,0.2,-0.005144318798556924,0.0001,0.06184391549322754,0.9922219514846802,-0.5121521949768066,0.004958241,7427,0.02099609375
29.257199999999994,1907960,291.89,60,112,547,-0.0078666927292943,0.2,-0.006646361667662859,0.0001,0.022354560787789524,0.9969884753227234,-0.47847331315279007,0.006511565,7431,0.036865234375
29.2577,1908984,291.83,61,112,557,-0.013574271462857723,0.2,-0.006802800518926233,0.0001,0.01580124272732064,0.9983296990394592,-0.46640187315642834,0.0045442246,7435,0.03076171875
29.2571,1910008,292.01,62,111,567,-0.025507861748337746,0.2,-0.0099080849904567,0.0001,0.010457646334543824,0.9988561272621155,-0.4869891759008169,0.0064305244,7439,0.035888671875
29.2573,1911032,292.05,63,111,578,-0.022230304777622223,0.2,-0.01089566177688539,0.0001,0.007013812020886689,0.9992184638977051,-0.49985411390662193,0.006280179,7443,0.032958984375
29.057099999999995,1912056,289.68,64,111,588,-0.011968767270445824,0.2,-0.010689149319659919,0.0001,0.00843346252804622,0.9992140531539917,-0.45443872176110744,0.006377765,7447,0.037353515625
29.057999999999996,1913080,289.66,65,111,597,0.40443795919418335,0.2,-0.0035952519392594695,0.0001,0.6859560590237379,0.9375612735748291,-0.517631758004427,0.0062804036,7451,0.029296875
29.193200000000004,1914104,290.9,66,111,606,0.0048702796921133995,0.2,-0.003900865849573165,0.0001,0.038000741391442716,0.9945285320281982,-0.40326756425201893,0.0038324292,7455,0.030029296875
29.449900000000003,1915128,293.8,67,111,616,-0.013021407648921013,0.2,-0.006216909852810204,0.0001,0.012596303800819442,0.9982671737670898,-0.42449571564793587,0.0032420082,7459,0.02978515625
29.452199999999998,1916152,292.59,68,111,625,-0.019687475636601448,0.2,-0.008133803901728243,0.0001,0.010612518730340526,0.9988627433776855,-0.5136441811919212,0.0056173396,7463,0.035888671875
29.4509,1917176,293.2,69,111,634,-0.026410695165395737,0.2,-0.01269111773581244,0.0001,0.007284429157152772,0.9992526769638062,-0.5337450355291367,0.0127615575,7467,0.07080078125
29.4503,1918200,293.78,70,110,648,0.03761455416679382,0.2,-0.003060514063690789,0.0001,0.1399235180579126,0.9821542501449585,-0.6223706379532814,0.0055259187,7471,0.0341796875
29.4534,1919224,292.61,71,109,661,-0.008510793559253216,0.2,-0.0049204371753148735,0.0001,0.03199776413384825,0.9954292178153992,-0.47542280703783035,0.0025065383,7475,0.017822265625
29.5377,1920248,293.68,72,109,674,-0.014257067814469337,0.2,-0.005586689192568883,0.0001,0.01121566432993859,0.9979717135429382,-0.4715063888579607,0.004321816,7479,0.021728515625
29.541899999999995,1921272,292.85,73,109,684,-0.031762972474098206,0.2,-0.013792177895084023,0.0001,0.006907981995027512,0.9991769790649414,-0.5062506627291441,0.009544188,7483,0.061279296875
