decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
64,256,562,132,562,3,right+B,0.03222876414656639,0.1807866096496582,0.30284208059310913,0.18248416483402252,0.3016583323478699,1.4536325931549072,12.0,510.0,0,2,388,0,0,0,0,0,0
65,260,574,134,574,3,right+B,0.027836252003908157,0.22176514565944672,0.0620797798037529,0.6188392043113708,0.06947960704565048,1.0885121822357178,11.0,521.0,0,2,387,0,0,0,0,0,0
66,264,586,123,586,4,right+A+B,0.03750409185886383,0.2629360258579254,0.06414303928613663,0.5671253204345703,0.06829153001308441,1.1555085182189941,12.0,533.0,0,2,387,0,0,0,0,0,0
67,268,594,104,594,3,right+B,0.04416321963071823,0.25217676162719727,0.06862394511699677,0.5749145150184631,0.060121577233076096,1.1562992334365845,8.0,541.0,0,2,387,0,0,0,0,0,0
68,272,594,84,594,2,right+A,0.039975620806217194,0.2347739040851593,0.06180993467569351,0.6193240284919739,0.04411652311682701,1.0753982067108154,0.0,541.0,1,2,387,0,0,0,0,0,0
69,276,594,79,594,3,right+B,0.03090752847492695,0.19153913855552673,0.049266424030065536,0.701935887336731,0.0263509638607502,0.9165677428245544,0.0,541.0,2,2,387,0,0,0,0,0,0
70,280,594,79,594,3,right+B,0.02724219113588333,0.18619345128536224,0.0498652420938015,0.7174044251441956,0.019294608384370804,0.875091016292572,-1.0,540.0,3,2,386,0,0,0,0,0,0
71,284,594,79,594,3,right+B,0.024768628180027008,0.1806115061044693,0.04826060310006142,0.7297530770301819,0.016606222838163376,0.8449430465698242,0.0,540.0,4,2,386,0,0,0,0,0,0
72,288,594,93,594,2,right+A,0.024298109114170074,0.17799745500087738,0.04724874719977379,0.7341184020042419,0.016337329521775246,0.8358862400054932,0.0,540.0,5,2,386,0,0,0,0,0,0
73,292,594,108,594,3,right+B,0.025042889639735222,0.1796141266822815,0.04809391498565674,0.7306482791900635,0.01660080999135971,0.8439999222755432,0.0,540.0,6,2,386,0,0,0,0,0,0
74,296,594,112,594,3,right+B,0.024348853155970573,0.1753084361553192,0.045736439526081085,0.7384846210479736,0.01612156629562378,0.8272202014923096,0.0,540.0,7,2,386,0,0,0,0,0,0
75,300,594,106,594,3,right+B,0.024309808388352394,0.17339780926704407,0.045268651098012924,0.7408173084259033,0.016206372529268265,0.8233456015586853,-1.0,539.0,8,2,385,0,0,0,0,0,0
76,304,594,89,594,3,right+B,0.023106880486011505,0.1685141921043396,0.04244021326303482,0.7505888938903809,0.01534978486597538,0.8006863594055176,0.0,539.0,9,2,385,0,0,0,0,0,0
77,308,594,79,594,3,right+B,0.022168520838022232,0.1616976261138916,0.04014725238084793,0.7616744637489319,0.014312145300209522,0.7762746810913086,0.0,539.0,10,2,385,0,0,0,0,0,0
78,312,594,93,594,4,right+A+B,0.021366111934185028,0.15737740695476532,0.03848804160952568,0.7689819931983948,0.013786396943032742,0.7596161961555481,0.0,539.0,11,2,385,0,0,0,0,0,0
79,316,594,108,594,3,right+B,0.021978652104735374,0.16211766004562378,0.04084869101643562,0.7603915929794312,0.014663435518741608,0.7797016501426697,0.0,539.0,12,2,385,0,0,0,0,0,0
80,320,594,112,594,3,right+B,0.02192721888422966,0.1647280752658844,0.039996106177568436,0.7584313154220581,0.014917373657226562,0.7820289134979248,-1.0,538.0,13,2,384,0,0,0,0,0,0
81,324,594,106,594,3,right+B,0.022867804393172264,0.16759435832500458,0.04204818978905678,0.751909077167511,0.015580552630126476,0.7982430458068848,0.0,538.0,14,2,384,0,0,0,0,0,0
82,328,594,89,594,3,right+B,0.021645719185471535,0.16281025111675262,0.03970891609787941,0.7612072229385376,0.014627880416810513,0.7760985493659973,0.0,538.0,15,2,384,0,0,0,0,0,0
83,332,594,79,594,3,right+B,0.021371381357312202,0.1572602093219757,0.03871328383684158,0.7687060236930847,0.013949180953204632,0.7607765197753906,0.0,538.0,16,2,384,0,0,0,0,0,0
84,336,594,79,594,3,right+B,0.020610902458429337,0.15368887782096863,0.037269022315740585,0.7750100493431091,0.01342117041349411,0.7458340525627136,0.0,538.0,17,2,384,0,0,0,0,0,0
85,340,594,79,594,3,right+B,0.02066759020090103,0.15445315837860107,0.036983467638492584,0.7747206687927246,0.013175123371183872,0.7454063892364502,-1.0,537.0,18,2,383,0,0,0,0,0,0
86,344,594,79,594,3,right+B,0.020641040056943893,0.15553203225135803,0.03720427304506302,0.7730041146278381,0.013618599623441696,0.7495145797729492,0.0,537.0,19,2,383,0,0,0,0,0,0
87,348,594,79,594,3,right+B,0.020979654043912888,0.15672479569911957,0.03814873471856117,0.7702397704124451,0.013907008804380894,0.7566569447517395,0.0,537.0,20,2,383,0,0,0,0,0,0
