time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/entropy_loss
2378736,169,107,647,0.003101181901001837,267.08,0.9988055229187012,-0.0014464558626059443,0.2,2.5e-05,25.494725000000013,0.002197265625,-0.003684058552607894,9267,0.0005109508,-0.17083390802145004
2379760,169,108,653,0.020158025028649718,267.25,0.9919635057449341,-0.003721357847098261,0.2,2.5e-05,25.495150000000013,0.00390625,-0.003163718618452549,9271,0.001208748,-0.1874933699145913
2380784,169,109,659,0.0022349975333781913,268.62,0.9990574717521667,-0.0034761677670758218,0.2,2.5e-05,25.68767500000001,0.00634765625,-0.01253109984099865,9275,0.0009776261,-0.15912990178912878
2381808,169,110,665,0.0018801764672389254,268.62,0.999052882194519,-0.0026404766249470413,0.2,2.5e-05,25.687350000000006,0.0126953125,-0.004682415165007114,9279,0.0019380907,-0.16163669433444738
2382832,169,111,671,0.001183094340376556,268.62,0.9994734525680542,-0.002601528656668961,0.2,2.5e-05,25.68735000000001,0.00439453125,-0.007014959119260311,9283,0.00085726555,-0.16627686098217964
2383856,169,112,677,0.000937199845793657,268.62,0.9995961785316467,-0.0018123267509508878,0.2,2.5e-05,25.68735000000001,0.0078125,-0.006090439856052399,9287,0.0015467899,-0.16530622448772192
2384880,169,113,683,0.0010017963213613257,268.62,0.9996028542518616,-0.002117116644512862,0.2,2.5e-05,25.68702500000001,0.002685546875,-0.006554426625370979,9291,0.0006536691,-0.1611123774200678
2385904,169,114,689,0.0008693678755662404,268.62,0.9996638894081116,-0.0023529164609499276,0.2,2.5e-05,25.687025000000013,0.0029296875,-0.00621758634224534,9295,0.00045579177,-0.16491277236491442
2386928,169,115,695,0.0009716768472571857,268.62,0.9996577501296997,-0.0027165238570887595,0.2,2.5e-05,25.687025000000013,0.008544921875,-0.0062460387125611305,9299,0.0017682388,-0.16669589187949896
2387952,169,116,701,0.0012744312080030795,268.62,0.9994813203811646,-0.003123443282674998,0.2,2.5e-05,25.68670000000001,0.005615234375,-0.008475858718156815,9303,0.001853293,-0.17218851204961538
2388976,169,117,707,0.001135380571213318,268.62,0.9995365142822266,-0.001282717741560191,0.2,2.5e-05,25.68670000000001,0.010498046875,0.00028199382359161973,9307,0.001590521,-0.16707082651555538
2390000,169,118,713,0.0009461676127102692,267.95,0.999654233455658,-0.0025940938212443143,0.2,2.5e-05,25.69877500000001,0.00732421875,-0.0019452909473329782,9311,0.0012103866,-0.16599362529814243
2391024,169,119,719,0.0009400553171872161,267.95,0.9995304346084595,-0.00263952708337456,0.2,2.5e-05,25.69942500000001,0.006103515625,-0.007772139739245176,9315,0.0013794829,-0.1594915697351098
2392048,169,120,725,0.0023615407553734258,266.28,0.9990280866622925,-0.0020231436501489952,0.2,2.5e-05,25.507525000000015,0.004150390625,-0.0023386201355606318,9319,0.0009375778,-0.16721353866159916
2393072,169,121,731,0.5455813491716981,266.8,0.8155234456062317,-0.0005391249433159828,0.2,2.5e-05,25.49357500000001,0.00537109375,0.16271352767944336,9323,0.00081931526,-0.18233033269643784
2394096,169,122,737,0.02168072428321466,266.8,0.9926708936691284,-0.0029790768458042294,0.2,2.5e-05,25.49390000000001,0.00341796875,-0.005705090239644051,9327,0.0009831502,-0.19993982464075089
2395120,169,123,743,0.008500203111907467,265.16,0.9961982369422913,-0.001994356687646359,0.2,2.5e-05,25.30192500000001,0.00390625,0.00042507494799792767,9331,0.0009626688,-0.17323711328208447
2396144,169,124,749,0.4635908482596278,265.29,0.8328297138214111,-0.00017136128735728562,0.2,2.5e-05,25.29045000000001,0.0,0.1077176034450531,9335,0.00013927516,-0.17707325424999
2397168,169,125,755,0.02083401696290821,265.29,0.9915117025375366,-0.004880437336396426,0.2,2.5e-05,25.29045000000001,0.00927734375,-0.002242511138319969,9339,0.0026437528,-0.17362820636481047
2398192,169,126,762,0.00350419944152236,265.29,0.9978708028793335,-0.0015781581751070917,0.2,2.5e-05,25.29077500000001,0.00390625,-0.004770807921886444,9343,0.0009217662,-0.16631512716412544
2399216,169,127,768,0.013781677698716521,265.97,0.993897557258606,-0.0034124841913580894,0.2,2.5e-05,25.28915000000001,0.0068359375,0.00044567277655005455,9347,0.0019901637,-0.16148042865097523
2400240,169,128,774,0.0953520005568862,267.61,0.970691978931427,-0.0027216760790906847,0.2,2.5e-05,25.481450000000013,0.006591796875,0.03875930234789848,9351,0.0017406251,-0.19173137564212084
2401264,169,129,780,0.004030693191452883,267.61,0.9979466795921326,-0.0021060273866169155,0.2,2.5e-05,25.481450000000013,0.005126953125,-0.0020426600240170956,9355,0.00083703746,-0.15824024844914675
2402288,169,130,786,0.02058876969385892,267.97,0.991823673248291,-0.002453548542689532,0.2,2.5e-05,25.480850000000014,0.002685546875,0.0012632478028535843,9359,0.0011531367,-0.17932657524943352
2403312,169,131,792,0.0033212445123353973,267.97,0.9982255101203918,-0.002729695006564725,0.2,2.5e-05,25.480850000000014,0.006591796875,-0.002881125546991825,9363,0.0011491682,-0.15844501834362745
2404336,169,132,798,0.001287740444240626,267.13,0.9992884397506714,-0.00265768586541526,0.2,2.5e-05,25.494300000000013,0.004638671875,-0.0036716600880026817,9367,0.0014659329,-0.154798137024045
2405360,169,133,805,0.006833553634351119,267.52,0.9969093203544617,-0.0016072373546194285,0.2,2.5e-05,25.482275000000012,0.00146484375,7.004942744970322e-06,9371,0.0005395977,-0.16193283814936876
2406384,169,134,811,0.014061092428164557,268.0,0.9955712556838989,-0.0033423388958908617,0.2,2.5e-05,25.469775000000013,0.005126953125,-0.00653320737183094,9375,0.0010548944,-0.17653971258550882
2407408,169,135,817,0.022234007075894624,268.0,0.993759036064148,-0.004945310764014721,0.2,2.5e-05,25.469775000000013,0.02294921875,0.006070197559893131,9379,0.004231713,-0.21020259708166122
2408432,169,136,823,0.0025161411249428056,268.0,0.9986560940742493,-0.0025918817264027894,0.2,2.5e-05,25.45960000000001,0.002685546875,-0.0025197581853717566,9383,0.0006116481,-0.15442064870148897
2409456,169,137,829,0.009335548733361065,268.0,0.9964320063591003,-0.002317149512236938,0.2,2.5e-05,25.45960000000001,0.00390625,0.0017638907302170992,9387,0.0013640132,-0.15632090158760548
2410480,169,138,836,0.001743437875120435,268.0,0.9992097616195679,-0.0039166173883131705,0.2,2.5e-05,25.45960000000001,0.004638671875,-0.005983290262520313,9391,0.0010303868,-0.15652288682758808
