time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl
59392,58,173,113.64,341,351.57,0.6105856895446777,685.2152214050293,0.004167792038060725,-0.045796280493959785,0.00025,0.2,228,365.6669921875,0.0029296875,0.0005791979
60416,59,173,118.73,347,361.91,0.4109746813774109,998.015251159668,-0.0009341263212263584,-0.03607774875126779,0.00025,0.2,232,556.451416015625,0.001708984375,0.0006491358
61440,60,173,137.2,353,350.9,-0.1973501443862915,1243.0800819396973,0.0006458896532421932,-0.11131864786148071,0.00025,0.2,236,596.2689819335938,0.010986328125,0.0021839985
62464,61,173,132.86,359,336.56,0.12525075674057007,3023.936569213867,0.0004597306251525879,-0.23869988787919283,0.00025,0.2,240,1297.7620849609375,0.03662109375,0.025249109
63488,62,173,136.29,365,347.85,0.11250424385070801,3578.5498809814453,0.015610571368597448,-0.1253111562691629,0.00025,0.2,244,1484.43798828125,0.037109375,0.027402751
64512,63,173,136.29,371,347.85,0.2961181402206421,2787.7568359375,0.0121782825444825,-0.005487976331338018,0.00025,0.2,248,1077.766845703125,0.012939453125,0.15797852
65536,64,173,136.29,377,347.85,0.6695542335510254,1142.9663581848145,-6.313514313660562e-05,-0.00029849149333927016,0.00025,0.2,252,609.75390625,0.0,9.313226e-10
66560,65,173,118.9,382,338.98,0.8381715416908264,672.8171977996826,-0.000997274968540296,-0.004207592070542887,0.00025,0.2,256,146.44100952148438,0.0,8.0186874e-07
67584,66,173,118.9,388,338.98,0.8099019527435303,683.5211486816406,0.00010905064118560404,-0.04192510890425183,0.00025,0.2,260,306.3672790527344,0.019287109375,0.0041417093
68608,67,173,118.9,395,338.98,0.1448817253112793,490.73014068603516,0.0074202659307047725,-0.015794801205629483,0.00025,0.2,264,200.59988403320312,0.005126953125,0.0014147838
69632,68,173,118.9,401,338.98,0.8700119853019714,65.13831198215485,0.00105697987601161,-0.01209042829577811,0.00025,0.2,268,19.180706024169922,0.0,2.1694577e-06
