time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate
2163692,43,167,262,0.006103515625,24.474224999999997,-0.0032713054679334164,8427,0.2,-0.0030711705912835896,272.73,0.00088117237,-0.22815970610827208,0.016447211906779557,0.9938718676567078,2.5e-05
2164716,44,167,269,0.00390625,24.521425,-0.0014312146231532097,8431,0.2,-0.002695863222470507,271.61,0.00072333607,-0.22862282022833824,0.005364681768696755,0.9976279735565186,2.5e-05
2165740,45,167,275,0.0009765625,24.552025,-0.00016597285866737366,8435,0.2,-0.0008765508537180722,271.84,0.0003068351,-0.2269669473171234,0.004103166618733667,0.9982881546020508,2.5e-05
2166764,46,167,281,0.006103515625,24.563999999999997,-0.0036303172819316387,8439,0.2,-0.003445546724833548,271.67,0.0012351043,-0.2652401030063629,0.011034470284357667,0.9960350394248962,2.5e-05
2167788,47,167,287,0.009521484375,24.577725,0.02057664468884468,8443,0.2,-0.003444794419920072,271.77,0.0014624686,-0.26318805292248726,0.04769581067375839,0.9824842810630798,2.5e-05
2168812,48,167,293,0.00830078125,24.612775000000006,-0.005525681190192699,8447,0.2,-0.0038156306254677474,271.13,0.0017105315,-0.2534142592921853,0.01682565815281123,0.9933684468269348,2.5e-05
2169836,49,167,299,0.0029296875,24.729025,-0.004851805977523327,8451,0.2,-0.0012350179022178054,270.44,0.00048662454,-0.21675284206867218,0.010950622468953952,0.995778501033783,2.5e-05
2170860,50,167,305,0.00341796875,24.929700000000004,0.004328381270170212,8455,0.2,-0.001998633029870689,272.18,0.00079932925,-0.22443254385143518,0.007151023542974144,0.9968756437301636,2.5e-05
2171884,51,167,311,0.00390625,24.520525,-0.010879945941269398,8459,0.2,-0.003938390378607437,267.13,0.0014161889,-0.2624724116176367,0.018211998278275132,0.9945366382598877,2.5e-05
2172908,52,167,317,0.00439453125,24.35105,0.5655879974365234,8463,0.2,-0.001063077332219109,264.57,0.0007695851,-0.25121431052684784,1.272335920482874,0.6637659668922424,2.5e-05
2173932,53,167,324,0.001708984375,24.375100000000003,0.2072930485010147,8467,0.2,-0.0014644376933574677,264.51,0.0004350167,-0.26111784763634205,0.468115858733654,0.8573325872421265,2.5e-05
2174956,54,167,330,0.002197265625,24.394875000000003,0.006731357425451279,8471,0.2,-0.0024344534031115472,264.21,0.0007123215,-0.2678997162729502,0.031854341039434075,0.9893980026245117,2.5e-05
2175980,55,167,336,0.003173828125,24.350949999999997,0.017081307247281075,8475,0.2,-0.0023842661757953465,263.68,0.00077402755,-0.24590718559920788,0.0685371549334377,0.9718191027641296,2.5e-05
2177004,56,167,342,0.000732421875,24.377025,0.13432079553604126,8479,0.2,-0.0006480666052084416,263.81,0.0003591841,-0.2757165338844061,0.4723614230751991,0.8828536868095398,2.5e-05
2178028,57,167,348,0.001708984375,24.409525000000002,0.009211018681526184,8483,0.2,-0.002441044111037627,263.81,0.00037634233,-0.24406727403402328,0.02823679894208908,0.99131178855896,2.5e-05
2179052,58,167,354,0.002685546875,24.4044,0.00014632334932684898,8487,0.2,-0.001443960820324719,264.52,0.0006931217,-0.22608576714992523,0.012212825182359666,0.995119571685791,2.5e-05
2180076,59,167,360,0.010498046875,24.250525000000007,0.0039136335253715515,8491,0.2,-0.005042064934968948,263.01,0.002288533,-0.3059198670089245,0.02681577776093036,0.9916183352470398,2.5e-05
2181100,60,167,366,0.001708984375,24.077050000000003,0.3994978666305542,8495,0.2,-0.0010928546107606962,261.42,0.00046519114,-0.22796124406158924,0.5479440405033529,0.7850644588470459,2.5e-05
2182124,61,167,372,0.002685546875,24.082200000000004,0.1680927574634552,8499,0.2,-0.0016545638063689694,260.8,0.0006322155,-0.23634612653404474,0.45295428903773427,0.8418376445770264,2.5e-05
2183148,62,167,378,0.001220703125,24.113775000000004,-0.0044092112220823765,8503,0.2,-0.0024853468785295263,260.77,0.00045771187,-0.2226157896220684,0.017824122100137174,0.99381422996521,2.5e-05
2184172,63,167,385,0.0009765625,24.124600000000004,-0.0016094313468784094,8507,0.2,-0.002234131912700832,260.77,0.00049633987,-0.22334776632487774,0.0093365806969814,0.9957384467124939,2.5e-05
2185196,64,167,391,0.0,24.119625,-0.0018289282452315092,8511,0.2,-0.0009625898383092135,260.97,0.00025280868,-0.21906289272010326,0.006205750280059874,0.997677206993103,2.5e-05
2186220,65,167,397,0.001708984375,24.130975000000003,-0.00027985312044620514,8515,0.2,-0.002576012775534764,261.58,0.00058349385,-0.24048929661512375,0.023482233460526913,0.9908400177955627,2.5e-05
2187244,66,167,403,0.005859375,24.38395,-0.001650722697377205,8519,0.2,-0.005321758362697437,264.2,0.001758645,-0.2779809180647135,0.02318598749116063,0.9921058416366577,2.5e-05
2188268,67,167,409,0.009033203125,24.398450000000004,0.002305201254785061,8523,0.2,-0.004978090291842818,264.17,0.001503112,-0.26728631742298603,0.027560352929867804,0.9913073778152466,2.5e-05
2189292,68,167,415,0.004638671875,24.387625,-0.005432436242699623,8527,0.2,-0.003158210194669664,264.17,0.00083250477,-0.2192608304321766,0.007279553508851677,0.9970320463180542,2.5e-05
2190316,69,167,421,0.0087890625,24.374375000000004,-0.007103343959897757,8531,0.2,-0.004414599417941645,264.61,0.0019310405,-0.22617825306952,0.009385636571096256,0.9963611960411072,2.5e-05
2191340,70,167,427,0.004638671875,24.362500000000004,0.0006148498505353928,8535,0.2,-0.004919207683997229,264.85,0.0012440268,-0.2703490983694792,0.020106335636228323,0.9936803579330444,2.5e-05
2192364,71,167,433,0.005859375,24.36357500000001,-0.005427103489637375,8539,0.2,-0.005328058090526611,264.34,0.001032273,-0.23997762333601713,0.01160957381944172,0.9962126016616821,2.5e-05
2193388,72,167,439,0.007568359375,24.379900000000006,-0.004255638457834721,8543,0.2,-0.002913745673140511,264.16,0.0011050239,-0.22258237190544605,0.010221817821729928,0.9961656332015991,2.5e-05
2194412,73,167,446,0.003662109375,24.41540000000001,-0.0009813201613724232,8547,0.2,-0.003836807270999998,263.58,0.0010994909,-0.2295705759897828,0.006274703322560526,0.9974254369735718,2.5e-05
2195436,74,167,452,0.007080078125,24.409850000000006,-0.003308740211650729,8551,0.2,-0.0018675221363082528,263.7,0.00078277977,-0.21809294540435076,0.0030260947241913527,0.9984933137893677,2.5e-05
2196460,75,167,458,0.007080078125,24.417675000000003,-0.0019236579537391663,8555,0.2,-0.0031723735301056877,263.69,0.0015870153,-0.23104833532124758,0.012349989148788154,0.9954419732093811,2.5e-05
2197484,76,167,464,0.0048828125,24.637400000000007,-0.006674184929579496,8559,0.2,-0.002667367269168608,264.75,0.0013637284,-0.22798683028668165,0.0020126339222770184,0.999187707901001,2.5e-05
2198508,77,167,470,0.0078125,24.9017,-0.0037624118849635124,8563,0.2,-0.002018781437072903,267.16,0.0011472605,-0.2365893004462123,0.0014303133139037527,0.9994164109230042,2.5e-05
2199532,78,167,476,0.0087890625,24.933875000000004,0.030474655330181122,8567,0.2,-0.0016810494853416458,267.11,0.00091415836,-0.2535283351317048,0.1070615507196635,0.9389146566390991,2.5e-05
2200556,79,167,482,0.02403846153846154,25.125500000000002,0.07626061886548996,8571,0.2,-0.002328815511786021,272.24,0.021007068,-0.306560931297449,0.12219229397865441,0.9134271144866943,2.5e-05
2201580,80,167,488,0.00634765625,25.112550000000002,0.01195736788213253,8575,0.2,-0.0019317203550599515,272.51,0.001218623,-0.2992526087909937,0.05110633629374206,0.983492910861969,2.5e-05
2202604,81,167,494,0.010986328125,25.138650000000002,-0.004556718282401562,8579,0.2,-0.0038202856085263193,271.13,0.0019202407,-0.2686570826917887,0.016854321875143796,0.9932088851928711,2.5e-05
2203628,82,167,500,0.011962890625,25.342725,-0.0017023840919137,8583,0.2,-0.003946729062590748,272.66,0.0027007754,-0.23690122365951538,0.012192182126455009,0.9949706792831421,2.5e-05
