time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1114148,191.38,185,286,16.0226,52,0.008694239,0.076904296875,0.20715820789337158,0.675031241029501,-0.6002488471567631,0.0001,4340,-0.0076830165926367044,0.2,0.8659176826477051
1115172,191.97,185,292,16.0567,53,0.003911009,0.017578125,0.1474190652370453,0.38835717737674713,-0.612728413194418,0.0001,4344,-0.004108562832698226,0.2,0.9007172584533691
1116196,195.37,185,297,16.2123,54,0.007360778,0.03564453125,0.23856090009212494,0.6457732804119587,-0.6223003938794136,0.0001,4348,-0.005524573702132329,0.2,0.8755993247032166
1117220,198.03,185,303,16.547100000000004,55,0.0055665355,0.047607421875,0.2875596880912781,0.6547351535409689,-0.6759543642401695,0.0001,4352,-0.004724617479951121,0.2,0.7740923762321472
1118244,200.31,185,309,16.6415,56,0.00699242,0.035888671875,0.27258527278900146,0.5674120560288429,-0.6637453995645046,0.0001,4356,-0.004527038603555411,0.2,0.8596463799476624
1119268,199.22,185,314,16.548499999999997,57,0.0063211215,0.036376953125,0.2699585258960724,0.7045504879206419,-0.738837543874979,0.0001,4360,-0.0033774855837691575,0.2,0.863613486289978
1120292,199.34,185,320,16.514300000000002,58,0.0041228523,0.03857421875,0.5027827024459839,0.9529824145138264,-0.651813842356205,0.0001,4364,-0.0024019218399189413,0.2,0.7921801805496216
1121316,196.49,185,325,16.3765,59,0.013107597,0.09716796875,0.2946503460407257,0.8588326461613178,-0.696701668202877,0.0001,4368,-0.005645491852192208,0.2,0.7462092638015747
1122340,185.65,185,331,15.757899999999996,60,0.0058468245,0.041748046875,0.5103843808174133,1.1146529838442802,-0.6257329620420933,0.0001,4372,-0.00013529552961699665,0.2,0.7530350089073181
1123364,181.98,185,337,15.698899999999998,61,0.0064832466,0.05224609375,0.4599997103214264,0.9706867225468159,-0.6187751963734627,0.0001,4376,-0.0028297380777075887,0.2,0.6977826356887817
1124388,181.5,185,342,15.519,62,0.0043098675,0.03173828125,0.6843158006668091,1.3796051666140556,-0.714902725070715,0.0001,4380,-0.0035175553639419377,0.2,0.5737709999084473
1125412,185.99,185,348,15.659700000000003,63,0.0036240844,0.039794921875,0.23195046186447144,0.5819109231233597,-0.8928037360310555,0.0001,4384,-0.002008428913541138,0.2,0.7063601613044739
1126436,185.57,185,353,15.548299999999998,64,0.006282949,0.06982421875,0.2676079571247101,0.7689420208334923,-0.7352316677570343,0.0001,4388,-0.006838683446403593,0.2,0.7231709957122803
1127460,188.84,185,359,15.4677,65,0.00390648,0.06005859375,0.272434264421463,0.7063314653933048,-0.7318702600896358,0.0001,4392,-0.006058398226741701,0.2,0.7887158989906311
1128484,191.68,185,365,15.640500000000001,66,0.009243748,0.06494140625,0.3924647867679596,0.8033684901893139,-0.5849882289767265,0.0001,4396,-0.0038385279185604304,0.2,0.5978655815124512
1129508,189.95,185,370,15.686699999999998,67,0.009161677,0.07275390625,0.2335044890642166,0.6089500673115253,-0.608730923384428,0.0001,4400,-0.0018798277887981385,0.2,0.7330799698829651
1130532,194.06,184,376,15.662799999999999,68,0.008089078,0.082275390625,0.39950260519981384,0.9270071387290955,-0.6781538464128971,0.0001,4404,-0.0016525985265616328,0.2,0.6058763861656189
1131556,188.23,185,381,15.2844,69,0.0046272865,0.11083984375,0.3151961863040924,0.6686184443533421,-0.7478364072740078,0.0001,4408,-0.00015994530986063182,0.2,0.7300283312797546
1132580,181.89,185,387,14.7115,70,0.0058576576,0.03564453125,0.46431365609169006,1.077162016183138,-0.5813261941075325,0.0001,4412,-0.0016486022504977882,0.2,0.6409732103347778
1133604,182.2,184,393,14.8205,71,0.0076569403,0.056640625,0.4564436674118042,1.028898250311613,-0.6243369430303574,0.0001,4416,-0.0022714606020599604,0.2,0.720321774482727
1134628,180.54,184,398,14.7392,72,0.0065652486,0.03271484375,0.1749623417854309,0.46555221267044544,-0.6659937426447868,0.0001,4420,-0.0023734594869893044,0.2,0.8781421184539795
1135652,179.42,184,404,14.643600000000001,73,0.01030417,0.06494140625,0.3392443060874939,0.766705933958292,-0.6876148395240307,0.0001,4424,-0.00608276532148011,0.2,0.7006949186325073
1136676,175.49,184,410,14.4893,74,0.0031052346,0.02099609375,0.22896984219551086,0.6125883255153894,-0.6866450197994709,0.0001,4428,-0.0029914236802142113,0.2,0.7638553977012634
1137700,175.94,184,415,14.4693,75,0.007790417,0.0654296875,0.2400704175233841,0.5599983427673578,-0.6803365871310234,0.0001,4432,-0.0027205954247619957,0.2,0.8124322891235352
1138724,174.78,184,421,14.514800000000001,76,0.0052051255,0.0537109375,0.535422682762146,1.1071125827729702,-0.6335266083478928,0.0001,4436,-0.001206939632538706,0.2,0.7507390379905701
1139748,176.97,184,426,14.7875,77,0.0073313136,0.077880859375,0.2567151188850403,0.6127827633172274,-0.5723700523376465,0.0001,4440,-0.0061941848252899945,0.2,0.8335265517234802
1140772,181.95,184,432,15.0141,78,0.0067112558,0.0849609375,0.2523503601551056,0.6536804437637329,-0.7249295450747013,0.0001,4444,-0.006138215947430581,0.2,0.8463907837867737
