decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
112,448,1184,127,1184,4,right+A+B,5.766351478087017e-06,0.00034157009213231504,0.05239490419626236,0.39495426416397095,0.5523034334182739,0.8520916700363159,12.0,1124.0,0,2,378,0,0,0,200,200,0
113,452,1196,107,1196,3,right+B,9.124539701588219e-07,8.294735744129866e-05,0.000921177736017853,0.9923211932182312,0.006673772353678942,0.04831315577030182,12.0,1136.0,0,2,378,0,0,0,200,200,0
114,456,1208,87,1208,3,right+B,1.763716994673814e-08,2.486018502168008e-06,6.161783403513255e-07,0.9999912977218628,5.506606157723581e-06,0.00011647328938124701,12.0,1148.0,0,2,378,0,0,0,200,200,0
115,460,1220,79,1220,3,right+B,1.9758945590808707e-09,5.489386580848077e-07,2.1232819946703785e-08,0.9999992847442627,7.509676436256996e-08,1.0513438610360026e-05,11.0,1159.0,0,2,377,0,0,0,200,200,0
116,464,1232,79,1232,3,right+B,2.489921047121868e-10,1.281317310031227e-07,1.6074001019106277e-09,0.9999998807907104,1.8652641653460478e-09,2.109022489094059e-06,12.0,1171.0,0,2,377,0,0,0,200,200,0
117,468,1244,79,1244,3,right+B,1.6625155419003335e-10,1.4571634210369666e-07,1.4494226929784304e-09,0.9999998807907104,5.926155122182308e-10,2.3396421511279186e-06,12.0,1183.0,0,2,377,0,0,0,200,200,0
118,472,1256,79,1256,3,right+B,6.654265471972565e-10,4.574799561396503e-07,1.2101977198142322e-08,0.9999995231628418,2.383106822989589e-09,6.960073733353056e-06,12.0,1195.0,0,2,377,0,0,0,200,200,0
119,476,1268,79,1268,3,right+B,8.966769549090259e-09,4.120145604247227e-06,6.684413733637484e-07,0.9999951124191284,6.24357596734626e-08,6.656262121396139e-05,12.0,1207.0,0,2,377,0,0,0,200,200,0
120,480,1280,79,1280,3,right+B,4.4602177240449237e-07,0.0001646524469833821,0.0014256596332415938,0.9983572363853455,5.2042887546122074e-05,0.012938195839524269,11.0,1218.0,0,2,376,0,0,0,200,200,0
121,484,1292,97,1292,2,right+A,6.981266551520093e-07,0.0001861484779510647,0.9477804899215698,0.0031221250537782907,0.04891049489378929,0.21805289387702942,12.0,1230.0,0,2,376,0,0,0,200,200,0
122,488,1304,117,1304,4,right+A+B,2.3845116103871078e-08,3.4379042972432217e-06,0.6966326832771301,1.1564466149138752e-06,0.303362637758255,0.6137489676475525,12.0,1242.0,0,2,376,0,0,0,200,200,0
123,492,1316,133,1316,4,right+A+B,7.80976228131891e-10,7.268892687761763e-08,0.24221330881118774,2.299873624878046e-09,0.7577865719795227,0.5536189079284668,12.0,1254.0,0,2,376,0,0,0,200,200,0
124,496,1328,147,1328,2,right+A,6.573884769878191e-10,5.412726622466835e-08,0.04443632811307907,3.4255873693211925e-09,0.9555636048316956,0.18179649114608765,12.0,1266.0,0,2,376,0,0,0,200,200,0
125,500,1340,156,1340,4,right+A+B,1.732855103853126e-08,1.5521766272286186e-06,0.02083861455321312,2.2105502921476727e-06,0.9791576266288757,0.10133890807628632,11.0,1277.0,0,2,375,0,0,0,200,200,0
126,504,1352,162,1352,4,right+A+B,5.659517654521551e-08,4.332542175689014e-06,0.011118600144982338,2.8250860850675963e-05,0.9888489246368408,0.06146318465471268,12.0,1289.0,0,2,375,0,0,0,200,200,0
127,508,1364,165,1364,4,right+A+B,3.0254403782237205e-07,2.0200537619530223e-05,0.011177931912243366,0.0005924938013777137,0.9882090091705322,0.06657836586236954,12.0,1301.0,0,2,375,0,0,0,200,200,0
128,512,1376,162,1376,4,right+A+B,3.3098865515057696e-06,0.0002753132430370897,0.023033656179904938,0.09880387037992477,0.877883791923523,0.4321835935115814,12.0,1313.0,0,2,375,0,0,0,200,200,0
129,516,1388,147,1388,4,right+A+B,6.539832611451857e-06,0.0006374890799634159,0.056100331246852875,0.5122252106666565,0.43103042244911194,0.8717913627624512,12.0,1325.0,0,2,375,0,0,0,200,200,0
130,520,1400,127,1400,2,right+A,3.8580687942157965e-06,0.00041935854824259877,0.4824834167957306,0.17695865035057068,0.34013471007347107,1.0282171964645386,11.0,1336.0,0,2,374,0,0,0,200,200,0
131,524,1412,107,1412,2,right+A,7.992614996510383e-07,5.287372550810687e-05,0.7661446332931519,0.0028893884737044573,0.23091229796409607,0.5599662065505981,12.0,1348.0,0,2,374,0,0,0,200,200,0
132,528,1424,87,1424,4,right+A+B,5.394145432546793e-07,2.4631632186356e-05,0.3401002287864685,0.001079946057870984,0.658794641494751,0.6493930816650391,12.0,1360.0,0,2,374,0,0,0,200,200,0
133,532,1436,79,1436,3,right+B,3.1898600809654454e-06,0.00019357685232535005,0.03671777620911598,0.2135360687971115,0.749549388885498,0.6688002347946167,12.0,1372.0,0,2,374,0,0,0,200,200,0
134,536,1448,79,1448,3,right+B,7.245997579730101e-08,1.2381689884932712e-05,2.9313316190382466e-05,0.9994869232177734,0.0004713337402790785,0.004570255987346172,12.0,1384.0,0,2,374,0,0,0,200,200,0
135,540,1460,79,1460,3,right+B,2.0023676050584527e-09,4.525036274571903e-07,9.533181355436682e-08,0.999998927116394,5.275344960864459e-07,1.6770825823186897e-05,11.0,1395.0,0,2,373,0,0,0,200,200,0
136,544,1472,79,1472,3,right+B,2.216300254431758e-09,3.972347997205361e-07,2.4971254219963157e-07,0.9999988079071045,5.835828460476478e-07,1.902574149426073e-05,12.0,1407.0,0,2,373,0,0,0,200,200,0
137,548,1484,79,1484,3,right+B,9.30464452153501e-08,7.625785656273365e-06,7.10210224497132e-05,0.9997629523277283,0.00015831216296646744,0.0023925884161144495,12.0,1419.0,0,2,373,0,0,0,200,200,0
138,552,1496,97,1496,4,right+A+B,1.077061824616976e-06,2.5237946829292923e-05,0.2940610349178314,0.0008005559793673456,0.705112099647522,0.612276554107666,12.0,1431.0,0,2,373,0,0,0,200,200,0
139,556,1508,117,1508,4,right+A+B,1.2365241275347216e-07,1.2830521427531494e-06,0.11919810622930527,1.1134526403111522e-06,0.8807993531227112,0.3653610944747925,19.0,1450.0,0,2,373,0,0,0,400,400,1
140,560,1520,110,1520,4,right+A+B,2.0329346739345056e-07,1.5893151612544898e-06,0.03150438889861107,8.894164125194948e-07,0.9684929847717285,0.13997244834899902,11.0,1461.0,0,2,372,0,0,0,400,400,1
141,564,1532,90,1532,4,right+A+B,5.193687684368342e-07,3.2857878977665678e-06,0.00747427623718977,1.16052733574179e-05,0.9925103187561035,0.04423860087990761,12.0,1473.0,0,2,372,0,0,0,400,400,1
142,568,1544,101,1544,4,right+A+B,1.210565915243933e-05,0.00013119100185576826,0.0047883037477731705,0.058441225439310074,0.9366272687911987,0.2541651129722595,12.0,1485.0,0,2,372,0,0,0,400,400,1
143,572,1556,99,1556,3,right+B,1.6233710766755394e-06,3.403669688850641e-05,5.078325921203941e-05,0.9950260519981384,0.004887469112873077,0.031842056661844254,13.0,1498.0,0,2,372,0,0,0,500,500,1
144,576,1568,84,1568,3,right+B,1.740682478157396e-07,4.173827164777322e-06,2.360086455155397e-06,0.9999071359634399,8.611570228822529e-05,0.0009835134260356426,12.0,1510.0,0,2,372,0,0,0,500,500,1
145,580,1580,79,1580,3,right+B,7.855460637529177e-08,2.0251484329492087e-06,6.717719429616409e-07,0.9999794960021973,1.778174191713333e-05,0.0002518943219911307,11.0,1521.0,0,2,371,0,0,0,500,500,1
146,584,1592,79,1592,3,right+B,4.3582350173210216e-08,1.3220087566878647e-06,3.190358484062017e-07,0.9999910593032837,7.272171842487296e-06,0.0001180293329525739,12.0,1533.0,0,2,371,0,0,0,500,500,1
147,588,1604,79,1604,3,right+B,2.889509431724946e-08,8.890784783943673e-07,1.4811617177201697e-07,0.999996542930603,2.45391402131645e-06,5.073229476693086e-05,12.0,1545.0,0,2,371,0,0,0,500,500,1
148,592,1616,79,1616,3,right+B,4.6437616418870675e-08,1.7035905557349906e-06,4.35141828347696e-07,0.9999948740005493,2.9706332043133443e-06,7.23611083230935e-05,12.0,1557.0,0,2,371,0,0,0,500,500,1
149,596,1628,79,1628,3,right+B,1.9113256257696776e-06,5.7862951507559046e-05,0.00020470694289542735,0.9994485974311829,0.0002868810261134058,0.005219853948801756,12.0,1569.0,0,2,371,0,0,0,500,500,1
150,600,1640,97,1640,2,right+A,4.89180711156223e-05,0.0009386091260239482,0.726954996585846,0.06646254658699036,0.20559488236904144,0.7442552447319031,11.0,1580.0,0,2,370,0,0,0,500,500,1
151,604,1652,117,1652,4,right+A+B,2.5880601697281236e-06,3.0026765671209432e-05,0.8136265277862549,5.6127617426682264e-05,0.18628482520580292,0.4817567467689514,12.0,1592.0,0,2,370,0,0,0,500,500,1
152,608,1664,133,1664,4,right+A+B,4.409930625115521e-06,5.723588401451707e-05,0.617077112197876,0.00024391281476709992,0.382617324590683,0.6681317090988159,12.0,1604.0,0,2,370,0,0,0,500,500,1
153,612,1676,147,1676,4,right+A+B,1.1182967682543676e-05,0.00016865941870491952,0.3032224774360657,0.003780174069106579,0.6928175687789917,0.6387665867805481,12.0,1616.0,0,2,370,0,0,0,500,500,1
154,616,1688,154,1688,3,right+B,7.817619916750118e-06,0.0004228450998198241,0.0016556618502363563,0.9810090065002441,0.016904620453715324,0.10176211595535278,12.0,1628.0,0,2,370,0,0,0,500,500,1
155,620,1700,150,1700,3,right+B,8.522854955117509e-08,1.1982838259427808e-05,1.2743986417262931e-06,0.9999790191650391,7.5651469160220586e-06,0.0002646630455274135,11.0,1639.0,0,2,369,0,0,0,500,500,1
156,624,1712,143,1712,3,right+B,9.70517888276845e-09,2.384253093623556e-06,5.056521246160628e-08,0.9999972581863403,2.64056154719583e-07,3.875729817082174e-05,12.0,1651.0,0,2,369,0,0,0,500,500,1
157,628,1724,135,1724,3,right+B,1.0936332728306297e-08,1.8152793472836493e-06,6.573675648269273e-08,0.999997615814209,5.534162141884735e-07,3.611844658735208e-05,12.0,1663.0,0,2,369,0,0,0,500,500,1
158,632,1732,116,1732,3,right+B,4.977582079845888e-08,4.030584932479542e-06,2.3249199898600637e-07,0.999990701675415,4.913215434498852e-06,0.0001240482524735853,8.0,1671.0,0,2,369,0,0,0,500,500,1
159,636,1733,96,1733,3,right+B,2.935477425580757e-07,8.72275631991215e-06,3.155565536872018e-06,0.9998692274093628,0.00011857083154609427,0.0013485177187249064,1.0,1672.0,0,2,369,0,0,0,500,500,1
