time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss
410,2175980,55,30.23749999999999,137,277.06,0.9995288252830505,0.004416709,8475,0.030517578125,0.2,0.0001,-0.007361880852840841,0.0029420388891594484,-0.01764848828315735,-0.23808937147259712
417,2177004,56,30.033999999999995,137,274.96,0.9316533207893372,0.0036635583,8479,0.027099609375,0.2,0.0001,-0.0022127274714875966,0.5561122745275497,0.14714308083057404,-0.24175147525966167
424,2178028,57,30.033399999999993,137,275.31,0.9245007038116455,0.0044880784,8483,0.01904296875,0.2,0.0001,-0.002243282418930903,0.5886276494711637,0.27245765924453735,-0.25444723572582006
431,2179052,58,29.828099999999992,137,273.77,0.9911913871765137,0.00335972,8487,0.0185546875,0.2,0.0001,-0.005124998831888661,0.04996392596513033,0.00014436617493629456,-0.2892140420153737
438,2180076,59,29.8268,137,274.49,0.9391262531280518,0.0075022094,8491,0.037109375,0.2,0.0001,-0.0028614973998628557,0.5331280063837767,0.1285039484500885,-0.30859736911952496
445,2181100,60,29.826699999999995,137,274.54,0.9842756986618042,0.004183135,8495,0.028076171875,0.2,0.0001,-0.004362953273812309,0.09125787601806223,0.009930352680385113,-0.2943405210971832
453,2182124,61,29.89639999999999,137,275.3,0.9956467151641846,0.003234407,8499,0.02587890625,0.2,0.0001,-0.003022390970727429,0.02871332166250795,0.007005631923675537,-0.2727491483092308
459,2183148,62,29.895599999999995,138,275.82,0.9973090887069702,0.0058720326,8503,0.030517578125,0.2,0.0001,-0.006487237144028768,0.015076865907758474,-0.01274607889354229,-0.27154726535081863
466,2184172,63,30.108099999999993,138,273.3,0.9978899955749512,0.005207056,8507,0.038818359375,0.2,0.0001,-0.004627837392035872,0.02028830093331635,-0.001995038241147995,-0.3061737548559904
473,2185196,64,29.906599999999997,138,271.2,0.9937384128570557,0.0047901627,8511,0.028076171875,0.2,0.0001,-0.005352150707039982,0.04489064565859735,-0.0009776512160897255,-0.29390999488532543
