time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
948256,164.65,183,278,12.4903,50,0.0001,0.06591796875,3692,-0.9351907521486282,0.006540579,0.6111388206481934,0.2,0.3698605000972748,0.7626174129545689,-0.0016900167101994157
949280,162.86,183,284,12.2976,51,0.0001,0.0185546875,3696,-0.9268022738397121,0.0048678676,0.4903228282928467,0.2,0.28612199425697327,0.6828592009842396,-0.0024202234053518623
950304,165.35,183,289,12.5459,52,0.0001,0.050048828125,3700,-0.9532526843249798,0.008271279,0.6325653791427612,0.2,0.2274632453918457,0.46255465783178806,-0.004881046959781088
951328,168.28,183,295,12.6833,53,0.0001,0.007568359375,3704,-0.8875639326870441,0.0022830137,0.6380003690719604,0.2,0.33531254529953003,0.7332864701747894,-0.0030936341208871454
952352,170.12,183,301,12.805,54,0.0001,0.048583984375,3708,-0.9111963398754597,0.0038309868,0.6452701091766357,0.2,0.3021898865699768,0.6144317109137774,-0.006231001578271389
953376,166.52,183,306,12.5435,55,0.0001,0.060791015625,3712,-0.8948688954114914,0.0088792965,0.7556836605072021,0.2,0.1352546662092209,0.3326624818146229,-0.003918994523701258
954400,167.88,183,312,12.613599999999998,56,0.0001,0.01220703125,3716,-0.8799166642129421,0.0045137885,0.571220874786377,0.2,0.44659245014190674,1.0057048462331295,-0.002168634411646053
955424,165.14,183,318,12.4444,57,0.0001,0.01025390625,3720,-0.8838198743760586,0.0029059374,0.6093481183052063,0.2,0.2132948786020279,0.5634768810123205,-0.004489416751312092
956448,165.11,183,324,12.515199999999998,58,0.0001,0.051025390625,3724,-0.8746756948530674,0.0062516043,0.6242592334747314,0.2,0.32582637667655945,0.8118331879377365,-0.0012254831090103835
957472,164.45,183,329,12.577299999999997,59,0.0001,0.09033203125,3728,-0.8320813216269016,0.0057789627,0.6940181255340576,0.2,0.26266297698020935,0.6001993846148252,-0.008442390186246485
958496,166.11,183,335,12.6888,60,0.0001,0.01806640625,3732,-0.8111882209777832,0.00478088,0.7167884111404419,0.2,0.2143605798482895,0.5960756447166204,-0.004798793961526826
959520,161.66,183,341,12.679299999999998,61,0.0001,0.068603515625,3736,-0.8392793945968151,0.010055467,0.674892783164978,0.2,0.194467231631279,0.6084428858011961,-0.0067183253122493625
960544,164.43,183,346,12.9514,62,0.0001,0.029052734375,3740,-0.8473986461758614,0.0069765663,0.6628430485725403,0.2,0.32239383459091187,0.7349050268530846,-0.0024759840162005275
