rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_range
108.1,175,7.644999999999999,461008,45,263,0.016413964,1792,0.059326171875,-0.005358209600672126,0.4374412689357996,0.5916843414306641,-1.0487757474184036,0.153450608253479,0.0001,0.2
109.12,174,7.7063000000000015,462032,46,269,0.007785118,1796,0.0498046875,-0.004714743583463132,0.5505560077726841,0.5417619943618774,-0.9897949919104576,0.2162315398454666,0.0001,0.2
111.62,174,7.880299999999998,463056,47,275,0.0023351163,1800,0.008544921875,-0.0002987643820233643,0.7270376086235046,0.3810310363769531,-1.0023526772856712,0.3408604562282562,0.0001,0.2
112.9,174,8.0037,464080,48,281,0.0006533297,1804,0.001953125,-0.00013374490663409233,0.6581592336297035,0.5243477821350098,-1.0229767486453056,0.2423749566078186,0.0001,0.2
115.52,174,8.197899999999999,465104,49,287,0.003118273,1808,0.002197265625,-0.0019526666728779674,0.5744977667927742,0.5334675312042236,-1.0313137844204903,0.27695560455322266,0.0001,0.2
115.04,174,8.3008,466128,50,293,0.004803962,1812,0.013427734375,-0.0014806043182034045,0.7620927914977074,0.4751487970352173,-0.9697187468409538,0.32160234451293945,0.0001,0.2
113.55,174,8.047400000000001,467152,51,299,0.0015352924,1816,0.000732421875,-0.00034154931199736893,0.6046205908060074,0.5323657989501953,-0.938113696873188,0.2595396339893341,0.0001,0.2
115.35,174,8.1219,468176,52,305,0.006985627,1820,0.033447265625,-0.0015592027775710449,0.4909796342253685,0.6217345595359802,-0.9042064622044563,0.2188412994146347,0.0001,0.2
119.97,174,8.3759,469200,53,311,0.009586959,1824,0.083251953125,-0.0007611910987179726,0.615319699048996,0.49093014001846313,-0.9755269587039948,0.2760451138019562,0.0001,0.2
123.2,173,8.6211,470224,54,317,0.013260577,1828,0.088623046875,-0.005881074321223423,0.6553567871451378,0.5580748319625854,-0.9134114682674408,0.29063600301742554,0.0001,0.2
122.65,173,8.6629,471248,55,323,0.0018909507,1832,0.017333984375,0.0013282409636303782,0.5350098367780447,0.470742404460907,-0.8853878378868103,0.23135903477668762,0.0001,0.2
120.14,173,8.496899999999998,472272,56,329,0.004185443,1836,0.01220703125,-0.0020233944815117866,0.7411014437675476,0.5205949544906616,-0.9401742480695248,0.3765747547149658,0.0001,0.2
121.53,173,8.617099999999999,473296,57,335,0.010590914,1840,0.044921875,-0.004132425441639498,0.9828052781522274,0.2569426894187927,-0.95134686678648,0.3799916207790375,0.0001,0.2
117.76,173,8.2668,474320,58,341,0.0016417413,1844,0.002685546875,0.0003594295267248526,0.855011560022831,0.16861289739608765,-0.9287659861147404,0.45011773705482483,0.0001,0.2
117.27,171,8.248800000000001,475344,59,351,0.00497527,1848,0.02294921875,-0.001809927198337391,0.7771904394030571,0.35966479778289795,-0.8632592484354973,0.3973293900489807,0.0001,0.2
117.48,171,8.343399999999999,476368,60,357,0.0032031364,1852,0.0087890625,-0.0014111446289462037,0.6344730518758297,0.4016021490097046,-0.8260660134255886,0.24094639718532562,0.0001,0.2
117.31,171,8.2373,477392,61,363,0.0055345017,1856,0.013427734375,-0.0005081257550045848,0.5339519195258617,0.4810590147972107,-0.834873266518116,0.19434578716754913,0.0001,0.2
112.59,171,7.990999999999999,478416,62,369,0.004244208,1860,0.015869140625,-0.001724416739307344,0.6496455147862434,0.6281768679618835,-0.8166409358382225,0.24947699904441833,0.0001,0.2
109.11,171,7.860400000000001,479440,63,375,0.0043651387,1864,0.008056640625,-0.0006184401863720268,0.623205304145813,0.601110577583313,-0.9278019480407238,0.31768426299095154,0.0001,0.2
108.54,171,7.812399999999999,480464,64,381,0.0076906676,1868,0.0458984375,-0.0036268663679948077,0.6185697671025991,0.5271103382110596,-0.9838543236255646,0.2153681069612503,0.0001,0.2
104.15,171,7.5022,481488,65,387,0.0018322237,1872,0.003662109375,-0.0012617500178748742,0.5779308825731277,0.4230107069015503,-0.9604832455515862,0.2770279347896576,0.0001,0.2
105.8,172,7.588699999999999,482512,66,392,0.0018248998,1876,0.004638671875,-0.0006671804003417492,0.8512511476874352,0.4715809226036072,-0.9483774341642857,0.35295483469963074,0.0001,0.2
102.88,172,7.3596,483536,67,398,0.009977564,1880,0.03369140625,-0.004070849157869816,0.7553027756512165,0.43746888637542725,-0.8867648467421532,0.28643012046813965,0.0001,0.2
