rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/loss
116.79,174,8.5175,258,615636,44,0.2,-1.0395558550953865,0.00080389786,-0.0001473642187193036,0.7535745203495026,0.0,0.390270471572876,2396,0.0001,0.3116143047809601
121.58,174,8.889200000000002,264,616660,45,0.2,-1.0668607130646706,0.0036558525,-0.0024678421032149345,0.4705701060593128,0.007080078125,0.635419487953186,2400,0.0001,0.19793301820755005
120.1,173,8.9082,270,617684,46,0.2,-1.0872776731848717,0.00466621,-0.0022759363637305796,0.5999815966933966,0.012451171875,0.574326753616333,2404,0.0001,0.22136473655700684
119.4,173,8.9683,276,618708,47,0.2,-1.0964983478188515,0.0014229738,-0.0026358616596553475,0.7586026825010777,0.00048828125,0.4400331974029541,2408,0.0001,0.3150681257247925
121.76,173,9.093299999999997,283,619732,48,0.2,-1.0969181582331657,0.0014554996,0.0007970490551088005,0.8268139660358429,0.005615234375,0.5765566229820251,2412,0.0001,0.30728229880332947
125.93,173,9.384300000000001,289,620756,49,0.2,-1.0554920881986618,0.019873343,-0.009292998642195016,0.6337999701499939,0.14404296875,0.5055094957351685,2416,0.0001,0.20634546875953674
128.1,173,9.5497,295,621780,50,0.2,-1.048109158873558,0.0026241625,-0.0013041032070759684,0.6275704000145197,0.003662109375,0.3701539635658264,2420,0.0001,0.28299733996391296
129.09,173,9.5903,301,622804,51,0.2,-1.0715188309550285,0.0055270013,-0.003770451177842915,0.8879489414393902,0.031982421875,0.4825816750526428,2424,0.0001,0.444381982088089
131.76,172,9.7344,307,623828,52,0.2,-1.0665508657693863,0.0050749164,-0.0019694200600497425,0.6106539163738489,0.00634765625,0.4404769539833069,2428,0.0001,0.23091885447502136
133.32,172,9.759300000000001,313,624852,53,0.2,-1.0280062332749367,0.0005992588,0.0010142748360522091,0.714820858091116,0.001953125,0.42673933506011963,2432,0.0001,0.3632379472255707
135.48,172,10.000599999999999,319,625876,54,0.2,-1.06602643430233,0.0063183866,-0.004254527360899374,0.8262026347219944,0.014892578125,0.3706604242324829,2436,0.0001,0.3206723928451538
133.13,173,9.896,325,626900,55,0.2,-1.0809156000614166,0.0063886354,-0.0030935848044464365,0.7347771748900414,0.019775390625,0.48345470428466797,2440,0.0001,0.2622910439968109
130.56,172,9.7667,331,627924,56,0.2,-1.0691889375448227,0.0032009552,-0.0019192926411051303,0.6016977224498987,0.00537109375,0.5195363759994507,2444,0.0001,0.2326773703098297
131.1,172,9.7852,337,628948,57,0.2,-1.0527201741933823,0.005734195,-0.002417798386886716,0.750129047781229,0.0126953125,0.459771990776062,2448,0.0001,0.3194502294063568
133.07,172,9.9028,343,629972,58,0.2,-1.0239464417099953,0.0045927675,-0.0028438264853321016,0.5425317622721195,0.00146484375,0.5474369525909424,2452,0.0001,0.24670830368995667
131.71,172,9.6123,349,630996,59,0.2,-1.0103646665811539,0.0037294435,-0.00235244061332196,0.6192111726850271,0.009033203125,0.6213158369064331,2456,0.0001,0.25154879689216614
134.61,173,9.9627,355,632020,60,0.2,-0.9673383869230747,0.004945761,-0.003059618335100822,1.249783705919981,0.01025390625,0.35936516523361206,2460,0.0001,0.4778442680835724
130.77,172,9.741,361,633044,61,0.2,-0.9845973402261734,0.0017205119,-0.0028080547344870865,0.54263935983181,0.0068359375,0.5535801649093628,2464,0.0001,0.17856591939926147
