time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
2175980,146,55,-4.824999999999999,416.38,383,0.2137250117957592,0.018798828125,0.0001,8470,0.2,-1.507560282945633,0.0763334333896637,-0.007057810318656266,0.0053127576,0.5235294699668884
2177004,147,56,-4.825,418.24,389,0.2789992280304432,0.13427734375,0.0001,8474,0.2,-1.4416580274701118,0.0874502956867218,-0.00407677300972864,0.01925221,0.5417397022247314
2178028,147,57,-4.821999999999999,429.8,396,0.20517045818269253,0.1279296875,0.0001,8478,0.2,-1.4476962089538574,0.11299235373735428,-0.0007583826954942197,0.018489294,0.4525650143623352
2179052,147,58,-4.8199999999999985,441.62,402,0.3842322453856468,0.080322265625,0.0001,8482,0.2,-1.4573139399290085,0.1656523048877716,-0.007107894925866276,0.0066977395,0.34283971786499023
2180076,147,59,-4.8229999999999995,421.94,409,0.25015269592404366,0.077880859375,0.0001,8486,0.2,-1.4434816092252731,0.08439727127552032,-0.005948906822595745,0.0100202635,0.7154457569122314
2181100,147,60,-4.826,410.25,415,0.48599166981875896,0.06494140625,0.0001,8490,0.2,-1.459445282816887,0.17496827244758606,-0.007125109346816316,0.0136963315,0.44921427965164185
2182124,147,61,-4.828,415.52,422,0.3231034902855754,0.003173828125,0.0001,8494,0.2,-1.4657991006970406,0.11428946256637573,-0.003172667697072029,0.002281353,0.5856625437736511
2183148,148,62,-4.825,433.29,428,0.1252661505714059,0.10888671875,0.0001,8498,0.2,-1.4765088930726051,0.020206131041049957,-0.005929955514147878,0.019390045,0.648513674736023
2184172,148,63,-4.816,436.5,435,0.19105965038761497,0.142333984375,0.0001,8502,0.2,-1.4721127673983574,0.023196663707494736,-0.005240902886725962,0.010411772,0.14313846826553345
2185196,148,64,-4.824,432.66,442,0.320972858928144,0.016357421875,0.0001,8506,0.2,-1.5270625948905945,0.09092040359973907,-0.004600994230713695,0.0028585682,0.47783374786376953
